[[[0000585C]]] "SQL"
[[[064575BF]]] "Error: no se puede crear el archivo"
[[[06A061A3]]] "Opciones"
[[[06A0D373]]] "Distancia orbital en millas"
[[[06AC7B05]]] "Dios no existe"
[[[06FC5F4C]]] "Tipo de SQL"
[[[0704EB03]]] "inglés"
[[[07284CF1]]] "Planeta"
[[[075233D5]]] "Ubicación de la carpeta Sqlite"
[[[0781F2DC]]] "Instalar SQL"
[[[078E38DE]]] "&Impresión"
[[[07E8BDC2]]] "Agregar"
[[[0824BE43]]] "Error al mover la base de datos"
[[[082AC612]]] "Calcular"
[[[08501C6F]]] "Tamaño de planeta habitable Millas de diámetro"
[[[0856956E]]] "No se puede agregar este registro a la base de datos. Cancelar para salir."
[[[0857B45C]]] "Ventana principal"
[[[085CEBC1]]] "absValue -1"
[[[0889F08F]]] "Archivo"
[[[089F09AA]]] "Archivo:"
[[[08AFCF51]]] "Elija uno para cada categoría"
[[[08D9A083]]] "Motores trinarios"
[[[08F218E1]]] "Contraseña revisada"
[[[091483EF]]] "Fallo criptográfico"
[[[096E5987]]] "getPiLong"
[[[097140BC]]] "Diámetro del sol"
[[[0A034873]]] "Decimales"
[[[0A7B9261]]] "Respuesta"
[[[0ABC8C73]]] "Defauls"
[[[0B435252]]] "Este archivo fue creado para probar si esta carpeta se puede escribir por"
[[[0B5F667F]]] "runProcces no puede iniciar el proceso"
[[[0B6B0E9F]]] "Espectáculo"
[[[0B8E29E1]]] "Ctrl + A"
[[[0B8E29F0]]] "Ctrl + P"
[[[0B8E29F8]]] "Ctrl + X"
[[[0BABCD2F]]] "Recuerdo"
[[[0BD170C5]]] "getPiDecimalPlace"
[[[0C05C26D]]] "Velocidad orbital media ="
[[[0C2881C3]]] "Se crea el archivo Eliminar Args"
[[[0C40FDC5]]] "Ingrese el resonante de fuego en frecuencia, longitud de onda o porcentaje"
[[[0C4C9671]]] "Energía"
[[[0C4F7494]]] "Nombre de host"
[[[0C6E3421]]] "Calculadora"
[[[0C85CEB1]]] "absValue 1"
[[[0C897135]]] "Acerca de"
[[[0C95C013]]] "barra de herramientas"
[[[0CA08DF3]]] "No se puede abrir la base de datos"
[[[0CADA904]]] "Folder not found"
[[[0CBB0173]]] "Settings"
[[[0CBDBADF]]] "Archivo no encontrado"
[[[0CCA2EC9]]] "AOS = Distance / ( Days * 24 )"
[[[0CD93F25]]] "Enter X for the current value"
[[[0CDD3D41]]] "Imprimir pista enésima"
[[[0CF16C47]]] "Could not open file for writing"
[[[0D04C9AF]]] "No se pudo abrir el archivo de registro"
[[[0D10BF2F]]] "¿Cuál es tu creencia en Dios?"
[[[0D23786F]]] "Universo newtoniano"
[[[0D26FCC3]]] "No se pudo mover la base de datos"
[[[0D630753]]] "God is All Light witout Darkness"
[[[0D694C61]]] "Formula"
[[[0D828EB1]]] "Galaxia"
[[[0DFF1543]]] "Radius of Galaxy in Miles"
[[[0E123AA9]]] "Calculate Galaxy"
[[[0E3916C7]]] "Database SQL Driver is missing"
[[[0E4B2216]]] "Exportar PDF"
[[[0E93A9CF]]] "¿En qué ciencia crees?"
[[[0EDC7980]]] " export PDF file "
[[[0EE636D7]]] "Error opening file for writing"
[[[0EF15A42]]] "Size of Sun in Miles in Diameter"
[[[0EF584AC]]] "exportar archivo HTML"
[[[0F0A1A23]]] "Período sidéreo en días"
[[[0F0D7114]]] "Average Rotational Speed"
[[[0F3FF2F3]]] "Instrumentos"
[[[0F4FF491]]] "¡Estas loco!"
[[[0F8CACA1]]] "Radio de la galaxia"
[[[0F8EAB42]]] "formatNumber"
[[[0F96045C]]] "Energy Level"
[[[0FE7D0D3]]] "Planet Diameter in Miles"
[[[0FFAC6B5]]] "Galaxy Name"
