[[[000B19F9]]] "Тамильский"
[[[06F0EC10]]] "Чичева"
[[[06F510C1]]] "Queretaro Otomi - otq"
[[[0732EC53]]] "Debug Messages"
[[[073CB7BD]]] "Файл Remove Args создан"
[[[07654EC9]]] "Японский"
[[[076E901D]]] "Пароль изменен"
[[[07794E39]]] "арабский"
[[[07CD73D9]]] "Корейский"
[[[07E1A4D5]]] "Ошибка при запуске lrelease"
[[[07FD90D1]]] "африкаанс"
[[[07FF4979]]] "фризский"
[[[080A44D9]]] "Непальский"
[[[080B1E19]]] "Тагальский"
[[[08216FBF]]] "Не удалось открыть файл для чтения"
[[[0829AC0C]]] "Малаялам"
[[[08311C19]]] "Галицкий"
[[[0847678E]]] "Ошибка: системы Engine обнаружили подозрительный трафик из вашей компьютерной сети. Повторите попытку позже."
[[[085A7325]]] "Translate"
[[[08694F99]]] "Лаосский"
[[[086F1D50]]] "Расположение папки назначения перевода"
[[[08848899]]] "исландский"
[[[08897999]]] "албанский"
[[[08924C39]]] "Баскский"
[[[08928999]]] "Ирландский"
[[[0896D1A2]]] "Cebuano - ceb"
[[[089A2669]]] "Азербайджанский"
[[[089D3A33]]] "телугу"
[[[089FB419]]] "вьетнамский"
[[[08B98D39]]] "русский"
[[[08C5C109]]] "Филиппинский"
[[[08C9AC6E]]] "Себуано"
[[[08CE6B59]]] "Узбекский"
[[[08E19A58]]] "Удалить аргументы, использующие знак процента x"
[[[08E71079]]] "македонский"
[[[08ED2E99]]] "португальский"
[[[08F89527]]] "Hawaiian - haw"
[[[0909D2E1]]] "Запись найдена!"
[[[090B220F]]] "Выбранная эмоция"
[[[0910FB38]]] "Не удалось открыть файл для записи"
[[[091F0FE5]]] "Расположение папки sqlite"
[[[09392D85]]] "Error in Translation phrase"
[[[093A7A89]]] "Упрощенный китайский)"
[[[09426439]]] "Персидский"
[[[0952DFC9]]] "хорватский"
[[[0960297E]]] "Hmong - hmn"
[[[097D5BC9]]] "Гавайский"
[[[09818DD9]]] "Тайский"
[[[09846839]]] "Татарский"
[[[09854ED9]]] "Яванский"
[[[099619F9]]] "Итальянский"
[[[09A8D368]]] "суахили"
[[[09AF6A0E]]] "Ошибка: не удалось найти Яндекс SID в веб-версии."
[[[09B5659C]]] "Входной каталог должен содержать только txt и ts файл с тем же именем"
[[[09CC4F49]]] "Шведский"
[[[09D0CA81]]] "Входной каталог не существует!"
[[[09E1E3DB]]] "KlingonPlqaD - tlh-Qaak"
[[[09E70CCC]]] "Выбранный двигатель"
[[[09E86D09]]] "Монгольский"
[[[09EA5199]]] "Китайский традиционный)"
[[[09F5278B]]] "Ошибка при попытке удалить файл"
[[[09F6C47C]]] "Установить SQL"
[[[09F8F823]]] "Levantine Arabic - apc"
[[[0A0A1339]]] "латинский"
[[[0A105FC9]]] "Норвежский"
[[[0A16448D]]] "Файл не найден"
[[[0A1E22E9]]] "словенский"
[[[0A481F99]]] "болгарский"
[[[0A5672B9]]] "Литовский"
[[[0A6A1C29]]] "эстонский"
[[[0A88DEDF]]] "не поддерживается для"
[[[0A9E34B9]]] "Шотландский гэльский"
[[[0AAB99E9]]] "Кантонский"
[[[0AB28989]]] "Клингонский (PlqaD)"
[[[0AB8AC75]]] "не может быть таким же"
[[[0B06A2AE]]] "Help Folder Location"
[[[0B1614F9]]] "Венгерский"
[[[0B1E68FA]]] "HillMari - mrj"
[[[0B2A6B72]]] "Mari - mhr"
[[[0B2DE7D9]]] "Сербский (латиница)"
[[[0B33E65C]]] "Источник и назначение ошибки не могут совпадать"
[[[0B3C7339]]] "Латышский"
[[[0B41B1C9]]] "Киргизский"
[[[0B4525F9]]] "Удмуртский"
[[[0B5B387F]]] "Ошибка: не удалось сделать перевод места назначения"
[[[0B5E678C]]] "Crypto Fail"
[[[0B688A20]]] "Киньяруанда"
[[[0B7C4F99]]] "Курдский"
[[[0B7E1919]]] "турецкий"
[[[0B837FD9]]] "Малагасийский"
[[[0B852A24]]] "Не удалось найти файл Txt"
[[[0B85AEC8]]] "не поддерживает голосовые настройки"
[[[0B896819]]] "Суданский"
[[[0B8A8DE9]]] "Датский"
[[[0BB46AB9]]] "Уйгурский"
[[[0BBC19B9]]] "Таитянский"
[[[0BC680B2]]] "Драйвер базы данных SQL отсутствует"
[[[0BCD46F3]]] "Accepted all Translations"
[[[0BCD813A]]] "Выбранный исходный язык"
[[[0BD4B3F8]]] "Гуджарати"
[[[0BED8D19]]] "Сингальский"
[[[0BFCDD19]]] "Бенгальский"
[[[0C058DD9]]] "Финский"
[[[0C492604]]] "Не могу найти файл Txt"
[[[0C61CD0B]]] "Ошибка файловой системы"
[[[0C66B960]]] "Не удалось открыть файл журнала"
[[[0C69250A]]] "Выбранный язык"
[[[0C8459F9]]] "Амхарский"
[[[0C856541]]] "runProcces не может запустить процесс"
[[[0C977299]]] "Голландский"
[[[0C9AB525]]] "Невозможно найти запись в базе данных"
[[[0CBCFDB0]]] "Расположение исходной папки перевода"
[[[0CBE578F]]] "и место назначения"
[[[0CFC2F4F]]] "Юкатек Майя"
[[[0D3E1FF9]]] "Немецкий"
[[[0D4C1928]]] "Пенджаби"
[[[0D6602F9]]] "Help File is Empty"
[[[0D6B7B32]]] "Невозможно создать выходной каталог ИЛИ каталог не пуст"
[[[0D9BD62A]]] "Папка назначения переводов ошибок"
[[[0DAE8535]]] "Невозможно установить соединение с базой данных"
[[[0DCBE07A]]] "французский язык"
[[[0DDB3D74]]] "README File not found"
[[[0DF15AC9]]] "Греческий"
[[[0E26D3DE]]] "Ошибка: не удалось извлечь SID Яндекса из веб-версии."
[[[0E3D1E09]]] "Таджикский"
[[[0E403609]]] "Фиджийский"
[[[0E49CA09]]] "не поддерживает настройки эмоций"
[[[0E4FE0E1]]] "Yucatec Maya - yua"
[[[0E9170C9]]] "Казахский"
[[[0EA99B50]]] "Papiamento - pap"
[[[0EB7E085]]] "Не добавляется: запись найдена в базе данных"
[[[0EE08DD9]]] "Чешский"
[[[0F0BBCD2]]] "Расположение папки проектов"
[[[0F113CD9]]] "Гаитянский креольский"
[[[0F125C15]]] "Не удалось переместить базу данных"
[[[0F1872C9]]] "Сомалийский"
[[[0F21A470]]] "Проверить папку ввода"
[[[0F2BDD68]]] "Холм мари"
[[[0F3569F9]]] "индонезийский"
[[[0F493919]]] "Грузинский"
[[[0F6039A9]]] "туркменский"
[[[0F6C0889]]] "Корсиканский"
[[[0FAA1B7B]]] "Не удалось найти входной файл"
[[[0FABA53B]]] "Удалить аргументы"
[[[0FAC6F80]]] "Выбранный язык перевода"
[[[0FC508C9]]] "Каталонский"
[[[0FF40E44]]] "README File could not be created"
